figure_url,item,source,source_url,how
https://figure.nz/chart/ojfxVBkh2NaSUKCP-CMfmTHmZqHpqYXeD,"New Zealand adults diagnosed with depression By sex and age group, year ended June 2015, % of adults within group ",New Zealand Health Survey: Adult health conditions 2014/15,https://www.health.govt.nz/publication/annual-update-key-results-2014-15-new-zealand-health-survey,"At URL provided, select ""Adult data tables: Health conditions"" from the right-hand column."
https://figure.nz/chart/WfdCtnoScwwIHp4P-0n1rPRufkiDopWCm,"Asian adults with private health insurance cover in New Zealand By age group, 2011–2015 average, % of adults within group ",New Zealand Health Survey: Private Health Insurance Coverage 2011–2015,http://www.health.govt.nz/publication/private-health-insurance-coverage-2011-15-new-zealand-health-survey,"At URL provided, select ""Private Health Insurance Coverage 2011–15 (docx, 278 KB)"" from the right-hand column. The data can be found in Appendix 2, which we have pasted into a spreadsheet for internal processing purposes."
https://figure.nz/chart/CYteLVDs3asQlKwo-6lm4MTWvTT9TCjLZ,"Tertiary students enrolled in fields of health in New Zealand By sub-sector and residency status, all levels, 2015 ",Tertiary Education: Participation - Provider-based Enrolments Field of Study 2015,http://www.educationcounts.govt.nz/statistics/tertiary_education/participation,At URL download file 'Provider-based Enrolments: Field of Study'
https://figure.nz/chart/c4aLPViYFVptBZ0L-7j1hpqrWVvndyChR,"Tertiary students enrolled in public health studies in New Zealand By whether domestic or international, all tertiary levels, 2008–2015 ",Tertiary Education: Participation - Provider-based Enrolments Field of Study 2015,http://www.educationcounts.govt.nz/statistics/tertiary_education/participation,At URL download file 'Provider-based Enrolments: Field of Study'
https://figure.nz/chart/AmOK59fECI0hkZbX,"Stomach cancer registration rate in New Zealand Females, 1948–2011, age-standardised rate per 100,000 population ",Cancer Historical Summary 1948-2011,http://www.health.govt.nz/publication/cancer-historical-summary-1948-2011,"http://www.health.govt.nz/ > Publications > Cancer historical summary 1948–2011 > Downloads: Cancer: Historical summary 1948–2011 (xlsx, 235 KB)"
https://figure.nz/chart/dXZpMIh9oc2nKsFn,"Clinical haematologists in New Zealand By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/wApr41PQDMSc5DCn,"Registered nurses in New Zealand (Surgical) By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/z7OxbONHro6TrVTE,"Midwives in New Zealand By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/yL5OXsEajBdxAHye,"Cardiac technicians in New Zealand By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/jRrVfKRbKpV2BjoC-2Tc42X62zAUEy1bq,"New Zealand hospitalisations for pain in the throat and chest By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-KNvU06lfCpaBDF3T,"New Zealand hospitalisations for pregnancy, childbirth and the puerperium By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-HXeVBSVzVm5QSIWy,"New Zealand hospitalisations for excessive, frequent and irregular menstruation By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-lalYHHu3sfAp4iol,"New Zealand hospitalisations for noninflammatory disorders of the ovary, fallopian tube and broad ligament By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-Zf1dO15nXB5pB5Qa,"New Zealand hospitalisations for haemorrhages from the respiratory passages By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-9HlCYYX1vWCAsr3k,"New Zealand hospitalisations for congenital malformations, deformations and chromosomal abnormalities By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-4EZaFVZ74tNWqT1K,"New Zealand hospitalisations for abnormalities of breathing By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-xkf2d0U4KlUqv0Pd,"New Zealand hospitalisations for symptoms and signs involving the circulatory and respiratory systems By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-7S8k0MrYlrQpLNAl,"New Zealand hospitalisations for disorders related to length of gestation and fetal growth By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-MDzj6bsha6RHh8jW,"New Zealand hospitalisations for respiratory and cardiovascular disorders specific to perinatal period By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-sa8Wj2BcJOa82h0S,"New Zealand hospitalisations for complications predominantly related to the puerperium By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-CV4jUZsz6shOn8Z3,"New Zealand hospitalisations for perineal laceration during delivery By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/eBB45lzJjYX3sbTc,"Otorhinolaryngologists in New Zealand By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/fmi1iMSV7ZdOCbrL,"Pharmacy technicians in New Zealand By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/jRrVfKRbKpV2BjoC-aYpyCptNwRIrsOcI,"New Zealand hospitalisations for labour and delivery complicated by fetal stress (distress) By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/vC6MO6HtLC4ITaq0,"Privately funded hospital discharges in New Zealand By age group and sex, 2011/12 ",Privately Funded Hospital Discharges 2011/2012,http://www.health.govt.nz/publication/privately-funded-hospital-discharges-1-july-2011-30-june-2012,"http://www.health.govt.nz/ > Publications > Privately funded hospital discharges 1 July 2011 to 30 June 2012 > Downloads: Privately funded hospital discharges Jul 2011 - Jun 2012 (xls, 1.5 MB)"
https://figure.nz/chart/aJiUIpskOmnhxhMh,"Registered nurses in New Zealand (Critical care and emergency) By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/tbuLYst24PzUXZHQ,"Sales representatives for medical & pharmaceutical products in NZ By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/5KKHSeqK7iZAhU5w,"Private hospital discharges for mental and behavioural disorders in New Zealand By age group, 2011/2012, number of discharges ",Privately Funded Hospital Discharges 2011/2012,http://www.health.govt.nz/publication/privately-funded-hospital-discharges-1-july-2011-30-june-2012,"http://www.health.govt.nz/ > Publications > Privately funded hospital discharges 1 July 2011 to 30 June 2012 > Downloads: Privately funded hospital discharges Jul 2011 - Jun 2012 (xls, 1.5 MB)"
https://figure.nz/chart/uHUoCubPFir3lHkt,"Nursing support workers in New Zealand By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/ZMjPUWN5HiOVNbSZ,"Registered nurses in New Zealand (Disability and rehabilitation) By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/AcNx4hDnBY92X5Q4,"Nursing clinical directors in New Zealand By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/QAEimID6WhT8j4mr,"Natural remedy consultants in New Zealand By region, 2013, number of people employed ",Census: Detailed Occupation by Sex and Region 2013 (d),,This dataset was requested from Statistics New Zealand 
https://figure.nz/chart/jRrVfKRbKpV2BjoC-tBCtWTrDW6KIqFif,"New Zealand hospitalisations for injuries to the ankle and foot By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-6khwe15h7jsc51z7,"New Zealand hospitalisations for injuries to the neck By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-VshTlbxM5p55hxIk,"New Zealand hospitalisations for abnormalities of the forces of labour By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-qk7RLUphcYZCLdoE,"New Zealand hospitalisations for injuries to the knee and lower leg By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-ElxOqZi9UY8RlbDq,"New Zealand hospitalisations for complications of labour and delivery By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-5kY5arsSrMmmUysd,"New Zealand hospitalisations for prolonged pregnancy By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-7VpU84IaWoqp0eP0,"New Zealand hospitalisations for premature rupture of membranes By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-RHi0n3MbPbYcAUjz,"New Zealand hospitalisations for false labour By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-DFdL8JUajTajURun,"New Zealand hospitalisations for maternal care for known or suspected abnormality of the pelvic organs By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-4e96eckqnop8NHPy,"New Zealand hospitalisations for maternal care related to fetus/amniotic cavity/possible delivery problems By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-1iluTDSBwUxuSPt0,"New Zealand hospitalisations for spontaneous abortion By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-rhfKnAXWVshvQMcS,"New Zealand hospitalisations for diabetes mellitus in pregnancy By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-Iy9LhQ2Ibyck7Sn2,"New Zealand hospitalisations for medical abortion By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-QAyCOOvElTkTv1tF,"New Zealand hospitalisations for syncope and collapse By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-IRVaOMzYeHcEKcT0,"New Zealand hospitalisations for injuries to the head By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-VU5nuduiK2WOpSqr,"New Zealand hospitalisations for headache By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-1O7LyCXqIYwX0DNw,"New Zealand hospitalisations for dizziness and giddiness By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-WeC9ASC8tB2Bo6wH,"New Zealand hospitalisations for general symptoms and signs By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-8kc8UxymMYwPiVAX,"New Zealand hospitalisations for symptoms and signs involving the urinary system By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-nm0VzNZJNfcdT0T4,"New Zealand hospitalisations for symptoms and signs involving the nervous and musculoskeletal systems By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
https://figure.nz/chart/jRrVfKRbKpV2BjoC-6u2LiLu0h0Ps8CLf,"New Zealand hospitalisations for symptoms and signs involving cognition/perception/emotions/behaviour By DHB of residence, year ended June 2014, number of patients discharged (publicly funded) ",National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,http://www.health.govt.nz/publication/publicly-funded-hospital-discharges-1-july-2013-30-june-2014,"> Downloads > Pivot tables (Excel 2013): Publicly funded hospital discharges (xlsx, 3.98 MB)"
