provider,dataset,title,tags,name,subtitle,url
Statistics New Zealand,New Zealand Disability Survey 2013,Percentage of the New Zealand population with impairments,Health|Disability|Impairment,,"By sex and impairment type, 2013, %",https://figure.nz/chart/BHeKQ9676lfIzz7t
Statistics New Zealand,New Zealand Disability Survey 2013,Impairment rates of adults living in residential care facilities in New Zealand,Health|Disability|Impairment,,"By impairment type, 2013, % of adults in residential care facilities",https://figure.nz/chart/TKVP3DrHhRZvKasX
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Chemists in New Zealand,Jobs|Chemist|Health|Science,,"By region, 2013, number of people employed",https://figure.nz/chart/VX9o9xJxrXqwBCIa
Statistics New Zealand,Census: Meshblock Dataset - Individual Part 2 (absolute values) 2013,"Cigarette smoking behaviour in Matamata-Piako District, New Zealand",People|Smoking|Cigarettes|Health,,"2006 & 2013 Census years, number of people aged 15+",https://figure.nz/chart/uQ7bwVANkR0P6Jxv-A6FuX1hADvPlvLrb
Statistics New Zealand,Census: Meshblock Dataset - Individual Part 2 (absolute values) 2013,"Cigarette smoking behaviour in Masterton District, New Zealand",People|Smoking|Cigarettes|Health,,"2006 & 2013 Census years, number of people aged 15+",https://figure.nz/chart/uQ7bwVANkR0P6Jxv-drxOqhNlFXTdO3C5
Ministry of Health,New Zealand Health Survey: Adult health conditions 2014/15,New Zealand adults diagnosed with anxiety disorder,Mental Health|Anxiety,,"By sex and neighbourhood deprivation, year ended June 2015, % of adults within group",https://figure.nz/chart/2HrfqSXVU6jCBDU9-7KEXVBoiAkJs2fHz
Statistics New Zealand,Census: Meshblock Dataset - Individual Part 2 (absolute values) 2013,"Cigarette smoking behaviour in the Waiheke Local Board Area, Auckland, New Zealand",People|Smoking|Cigarettes|Health,,"2006 & 2013 Census years, number of people aged 15+",https://figure.nz/chart/6RkK5PI7HhkQn0lN-PoyCyA2VUtAmHBEP
Statistics New Zealand,Census: Meshblock Dataset - Individual Part 2 (absolute values) 2013,"Cigarette smoking behaviour in Marlborough District, New Zealand",People|Smoking|Cigarettes|Health,,"2006 & 2013 Census years, number of people aged 15+",https://figure.nz/chart/uQ7bwVANkR0P6Jxv-MmRUu2JH3tHKyVDr
Ministry of Health,New Zealand Health Survey: Adult health conditions 2014/15,New Zealand adults diagnosed with anxiety disorder,Mental Health|Anxiety,,"By sex and ethnicity, year ended June 2015, % of adults within group",https://figure.nz/chart/2HrfqSXVU6jCBDU9-Kift4dpRjApcQohd
Statistics New Zealand,New Zealand Disability Survey 2013,Percentage of the New Zealand population with mobility impairments,Health|Disability|Impairment,,"By sex and age group, 2013, %",https://figure.nz/chart/EOMYHNrMrMoEpLYV-pj594reqbeNOMMiv
Ministry of Health,New Zealand Health Survey: Private Health Insurance Coverage 2011â€“2015,Asian adults with private health insurance cover in New Zealand,Insurance|Coverage|Ethnicity,,"By age group, 2011â€“2015 average, % of adults within group",https://figure.nz/chart/WfdCtnoScwwIHp4P-0n1rPRufkiDopWCm
Statistics New Zealand,New Zealand Disability Survey 2013,"People with disabilities living in private households in the Auckland Region, New Zealand",Health|Disability|Impairment,,"By impairment type, 2013, thousands",https://figure.nz/chart/Bp5atC12oR9uoJhC-bntbskV32UnZQVbu
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for abdominal and pelvic pain,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-QY5TxiXc3BjaVzoP
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for injuries to the ankle and foot,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-tBCtWTrDW6KIqFif
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Cardiac technicians in New Zealand,Jobs|Cardiac Technician|Health|Science,,"By region, 2013, number of people employed",https://figure.nz/chart/yL5OXsEajBdxAHye
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,"New Zealand hospitalisations for pregnancy, childbirth and the puerperium",DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-KNvU06lfCpaBDF3T
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for injuries to the knee and lower leg,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-qk7RLUphcYZCLdoE
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for pain in the throat and chest,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-2Tc42X62zAUEy1bq
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,"New Zealand hospitalisations for noninflammatory disorders of the ovary, fallopian tube and broad ligament",DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-lalYHHu3sfAp4iol
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,"New Zealand hospitalisations for excessive, frequent and irregular menstruation",DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-HXeVBSVzVm5QSIWy
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for abnormalities of breathing,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-4EZaFVZ74tNWqT1K
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for haemorrhages from the respiratory passages,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-Zf1dO15nXB5pB5Qa
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for symptoms and signs involving the circulatory and respiratory systems,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-xkf2d0U4KlUqv0Pd
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,"New Zealand hospitalisations for congenital malformations, deformations and chromosomal abnormalities",DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-9HlCYYX1vWCAsr3k
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for respiratory and cardiovascular disorders specific to perinatal period,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-MDzj6bsha6RHh8jW
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for complications predominantly related to the puerperium,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-sa8Wj2BcJOa82h0S
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for labour and delivery complicated by fetal stress (distress),DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-aYpyCptNwRIrsOcI
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for disorders related to length of gestation and fetal growth,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-7S8k0MrYlrQpLNAl
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for perineal laceration during delivery,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-CV4jUZsz6shOn8Z3
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Otorhinolaryngologists in New Zealand,Jobs|Otorhinolaryngologist|Health|Medicine|Science,,"By region, 2013, number of people employed",https://figure.nz/chart/eBB45lzJjYX3sbTc
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Registered nurses in New Zealand,Jobs|Registered Nurse|Emergency|Health,,"(Critical care and emergency) By region, 2013, number of people employed",https://figure.nz/chart/aJiUIpskOmnhxhMh
Ministry of Health,Privately Funded Hospital Discharges 2011/2012,Privately funded hospital discharges in New Zealand,Hospital|Discharges|Private|Health|Medical,,"By age group and sex, 2011/12",https://figure.nz/chart/vC6MO6HtLC4ITaq0
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Pharmacy technicians in New Zealand,Jobs|Pharmacy Technician|Science|Health,,"By region, 2013, number of people employed",https://figure.nz/chart/fmi1iMSV7ZdOCbrL
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Nursing support workers in New Zealand,Jobs|Nursing Support Worker|Health,,"By region, 2013, number of people employed",https://figure.nz/chart/uHUoCubPFir3lHkt
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Sales representatives for medical & pharmaceutical products in NZ,Jobs|Sales Representative|Health|Pharmaceutical,,"By region, 2013, number of people employed",https://figure.nz/chart/tbuLYst24PzUXZHQ
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Registered nurses in New Zealand,Jobs|Registered Nurse|Health|Disability,,"(Disability and rehabilitation) By region, 2013, number of people employed",https://figure.nz/chart/ZMjPUWN5HiOVNbSZ
Ministry of Health,Privately Funded Hospital Discharges 2011/2012,Private hospital discharges for mental and behavioural disorders in New Zealand,Disease|Mental Health|Private Hospital,,"By age group, 2011/2012, number of discharges",https://figure.nz/chart/5KKHSeqK7iZAhU5w
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Natural remedy consultants in New Zealand,Jobs|Natural Remedy Consultant|Health,,"By region, 2013, number of people employed",https://figure.nz/chart/QAEimID6WhT8j4mr
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Nursing clinical directors in New Zealand,Jobs|Nursing Clinical Director|Health,,"By region, 2013, number of people employed",https://figure.nz/chart/AcNx4hDnBY92X5Q4
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for injuries to the neck,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-6khwe15h7jsc51z7
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for abnormalities of the forces of labour,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-VshTlbxM5p55hxIk
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for false labour,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-RHi0n3MbPbYcAUjz
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for prolonged pregnancy,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-5kY5arsSrMmmUysd
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for premature rupture of membranes,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-7VpU84IaWoqp0eP0
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for complications of labour and delivery,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-ElxOqZi9UY8RlbDq
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for diabetes mellitus in pregnancy,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-rhfKnAXWVshvQMcS
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for medical abortion,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-Iy9LhQ2Ibyck7Sn2
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for maternal care related to fetus/amniotic cavity/possible delivery problems,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-4e96eckqnop8NHPy
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for maternal care for known or suspected abnormality of the pelvic organs,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-DFdL8JUajTajURun
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for injuries to the head,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-IRVaOMzYeHcEKcT0
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for spontaneous abortion,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-1iluTDSBwUxuSPt0
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for headache,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-VU5nuduiK2WOpSqr
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for syncope and collapse,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-QAyCOOvElTkTv1tF
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for symptoms and signs involving cognition/perception/emotions/behaviour,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-6u2LiLu0h0Ps8CLf
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for general symptoms and signs,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-WeC9ASC8tB2Bo6wH
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for symptoms and signs involving the urinary system,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-8kc8UxymMYwPiVAX
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for dizziness and giddiness,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-1O7LyCXqIYwX0DNw
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),General surgeons in New Zealand,Jobs|Surgeon|Health|Medicine|Science,,"By region, 2013, number of people employed",https://figure.nz/chart/NY6r7TWcaXk32nLa
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for nausea and vomiting,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-RUu3I3CJMpBPcyUe
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for symptoms and signs involving the digestive system and abdomen,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-8zB8RobmYXZihYLI
Ministry of Health,National Minimum Dataset: Publicly Funded Hospital Discharges - Pivot table by DHB 2013/2014,New Zealand hospitalisations for symptoms and signs involving the nervous and musculoskeletal systems,DHB|District Health Board|Hospitalisations,,"By DHB of residence, year ended June 2014, number of patients discharged (publicly funded)",https://figure.nz/chart/jRrVfKRbKpV2BjoC-nm0VzNZJNfcdT0T4
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Biomedical engineers in New Zealand,Jobs|Biomedical Engineer|Health|Science,,"By region, 2013, number of people employed",https://figure.nz/chart/2Ts6cVp9x1tBKQis
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Psychiatrists in New Zealand,Jobs|Psychiatrist|Medicine|Health|Science,,"By region, 2013, number of people employed",https://figure.nz/chart/EtqSeeA3fSzAH3qY
Ministry for the Environment,Environmental Reporting: Air Domain Report 2014,Airsheds that exceeded PM10 national standard in New Zealand,Emissions|Pollution|Science|PM10|Health,,"By number of days exceeding standard, 2006â€“2012, number of airsheds",https://figure.nz/chart/CE18pTKIPRSdABXb
Statistics New Zealand,New Zealand Disability Survey 2013,Impairment rates in the New Zealand population over 65,Health|Disability|Impairment|Third Age,,"By impairment type, 2013, % of population aged 65 years and over",https://figure.nz/chart/E3S1lv4hjpKi7w2c
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Medical superintendents in New Zealand,Jobs|Medical Superintendent|Medicine|Health,,"By region, 2013, number of people employed",https://figure.nz/chart/dtqa1Qtj0uTsQPr3
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Emergency service workers in New Zealand,Jobs|Emergency Service Worker|Health,,"By region, 2013, number of people employed",https://figure.nz/chart/KDFMKklcjaZyJIok
Ministry of Health,Cancer Historical Summary 1948-2011,Death rate for cancer of the uterus in New Zealand,Deaths|Cancer|Uterus|Health|Medical,,"1955â€“2011, age-standardised rate per 100,000 population",https://figure.nz/chart/nQb3EPDLQRaRaRQT
Department of Internal Affairs,Local Authority Election Statistics 2013,Women candidates and elected in New Zealand DHB elections,Women|Voting|Elections|DHB|Health,,"1989â€“2013, %",https://figure.nz/chart/bJ7HQiFilPSwcWCq
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Clinical haematologists in New Zealand,Jobs|Clinical Haematologist|Health|Science,,"By region, 2013, number of people employed",https://figure.nz/chart/dXZpMIh9oc2nKsFn
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Registered nurses in New Zealand,Jobs|Registered Nurse|Surgery|Health,,"(Surgical) By region, 2013, number of people employed",https://figure.nz/chart/wApr41PQDMSc5DCn
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Midwives in New Zealand,Jobs|Midwife|Health|Maternity|Parenting,,"By region, 2013, number of people employed",https://figure.nz/chart/z7OxbONHro6TrVTE
Ministry of Health,"Selected Cancers 2011, 2012 & 2013",,Cancer|Disease|Health|Illness|MÄÅori,"Rate of cancer registrations for MÄÅori for selected cancers by sex and age group, 2011",,https://figure.nz/table/6AKZERac9IAP7Paa
Ministry of Health,Cancer Historical Summary 1948-2011,Stomach cancer registration rate in New Zealand,Cancer|Stomach|Medical|Health|Hospital,,"Females, 1948â€“2011, age-standardised rate per 100,000 population",https://figure.nz/chart/AmOK59fECI0hkZbX
Ministry of Health,"Selected Cancers 2011, 2012 & 2013",,Cancer|Health|Disease|Illness|MÄÅori,"Number of cancer registrations for MÄÅori for selected cancers by sex and age group, 2012",,https://figure.nz/table/6PYjiQSz8oTfnQWd
Ministry of Health,"Selected Cancers 2011, 2012 & 2013",,Cancer|Health|Illness|Diseases|MÄÅori,"Rate of cancer registrations for MÄÅori for selected cancers by sex and age group, 2012",,https://figure.nz/table/PQwwUCVvV2DhjBZx
Statistics New Zealand,Census: Detailed Occupation by Sex and Region 2013 (d),Hospital pharmacists in New Zealand,Jobs|Hospital Pharmacist|Health|Science,,"By region, 2013, number of people employed",https://figure.nz/chart/6hAZUradmSaMhmD7
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health and welfare support workers in the Waikato Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-Dpt70eftTm6bfcHT
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health therapy professionals in the West Coast Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-IYHDOl42qqHsP2uI
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health diagnostic and promotion professionals in the Waikato Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-J5vJdNIT1XEWm1iA
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health diagnostic and promotion professionals in the Otago Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-wS8fBsxit5x0EwYC
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health therapy professionals in the Bay of Plenty Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-621kJQeSxNteFYID
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health therapy professionals in the Hawke's Bay Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-NhdQN1I9viWSk7Oy
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health and welfare support workers in the Nelson Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-wT8daQLd47fFFqRn
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health diagnostic and promotion professionals in the Nelson Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-8CRQPwWmmfXAjjZU
"Ministry of Business, Innovation, and Employment",Short-term Employment Forecasts: 2016-2019 - November 2016,"Health diagnostic and promotion professionals in the Auckland Region, New Zealand",Jobs|Work|Forecast|Projections|Occupation,,Estimates and projections for the year ended March 2016â€“2019,https://figure.nz/chart/9s9pPXy7AJEn9fyh-KmXsBuXPUojW6VX1
