tagId:ID(Tag),name,:LABEL
INTERNET,INTERNET,Tag
INTERVENTIONS,INTERVENTIONS,Tag
JUSTICE,JUSTICE,Tag
LABORATORY,LABORATORY,Tag
MANAGEMENT,MANAGEMENT,Tag
MAORI,MAORI,Tag
MARKETING,MARKETING,Tag
MATERNITY,MATERNITY,Tag
MEDIA,MEDIA,Tag
MEDICAL STAFF (NON NURSE OR DOCTOR),MEDICAL STAFF (NON NURSE OR DOCTOR),Tag
MEDICAL,MEDICAL,Tag
MEDICATION,MEDICATION,Tag
MENTAL HEALTH,MENTAL HEALTH,Tag
MONEY,MONEY,Tag
MORBIDITY,MORBIDITY,Tag
MORTALITY,MORTALITY,Tag
NATUROPATHY,NATUROPATHY,Tag
NGO,NGO,Tag
NURSE,NURSE,Tag
NUTRITION,NUTRITION,Tag
OBESITY,OBESITY,Tag
OECD,OECD,Tag
ONCOLOGY,ONCOLOGY,Tag
ORGANISATION,ORGANISATION,Tag
OSTEOARTHRITIS,OSTEOARTHRITIS,Tag
OTORHINOLARYNGOLOGY,OTORHINOLARYNGOLOGY,Tag
PAEDIATRICS,PAEDIATRICS,Tag
PAIN,PAIN,Tag
PARENTS,PARENTS,Tag
PATIENTS,PATIENTS,Tag
PEOPLE,PEOPLE,Tag
PHARMACY,PHARMACY,Tag
POISONING,POISONING,Tag
POLITICS,POLITICS,Tag
POLLUTION,POLLUTION,Tag
POVERTY,POVERTY,Tag
PREMATURE BABIES,PREMATURE BABIES,Tag
PRIMARY HEALTHCARE,PRIMARY HEALTHCARE,Tag
PRIVATE HOSPITAL,PRIVATE HOSPITAL,Tag
PRIVATE,PRIVATE,Tag
PRODUCTIVITY,PRODUCTIVITY,Tag
PSYCHIATRY,PSYCHIATRY,Tag
PSYCHOLOGY,PSYCHOLOGY,Tag
PSYCHOTHERAPY,PSYCHOTHERAPY,Tag
QUALITY OF LIFE,QUALITY OF LIFE,Tag
RADIOLOGY,RADIOLOGY,Tag
REFERRAL,REFERRAL,Tag
RESEARCH,RESEARCH,Tag
SAFETY,SAFETY,Tag
SALMONELLOSIS,SALMONELLOSIS,Tag
SCIENCE,SCIENCE,Tag
SECLUSION,SECLUSION,Tag
SELF-HARM,SELF-HARM,Tag
SICKNESS,SICKNESS,Tag
SMOKING,SMOKING,Tag
SOCIAL,SOCIAL,Tag
SOCIETY,SOCIETY,Tag
SPECIALIST,SPECIALIST,Tag
SPORT,SPORT,Tag
STAFFING,STAFFING,Tag
STOMACH,STOMACH,Tag
STROKE,STROKE,Tag
SUICIDE,SUICIDE,Tag
SURGERY,SURGERY,Tag
TERRITORIAL AUTHORITY,TERRITORIAL AUTHORITY,Tag
TRANSPORT,TRANSPORT,Tag
TRAVEL,TRAVEL,Tag
TV,TV,Tag
UNIVERSITY,UNIVERSITY,Tag
URGENT CARE,URGENT CARE,Tag
VACCINATION,VACCINATION,Tag
VIOLENCE,VIOLENCE,Tag
WEIGHT,WEIGHT,Tag
WOMEN,WOMEN,Tag
YOUTH,YOUTH,Tag
DUMMY,<a href="google.com">link text</a>,Tag
DUMMY2,"<a href='http://www.test.com'>link text</a>",Tag
