:START_ID(Dataset),:END_ID(Tag)
-5483377117679920259,BUSINESS
-5483377117679920259,EMPLOYMENT
-5483377117679920259,INDUSTRY
-5483377117679920259,STAFFING
-562261926657337777,ECONOMY
-562261926657337777,INDUSTRY
-5736586772478323508,DISCHARGES
-5736586772478323508,DISEASE
-5736586772478323508,HEALTH
-5736586772478323508,HOSPITAL
-5736586772478323508,MEDICAL
-5736586772478323508,MENTAL HEALTH
-5736586772478323508,PATIENTS
-5736586772478323508,PRIVATE
-5736586772478323508,PRIVATE HOSPITAL
-5947923588193297912,ETHNICITY
-5947923588193297912,HOSPITALISATION
-5947923588193297912,INTERVENTIONS
-5947923588193297912,POISONING
-5982452580813464525,AGING
-5982452580813464525,BUSINESS
-5982452580813464525,EDUCATION
-5982452580813464525,EMPLOYMENT
-6201487102963238516,ECONOMY
-6201487102963238516,EXPENDITURE
-6201487102963238516,GOVERNMENT
-6201487102963238516,HOUSEHOLD
-6390481840003199895,ECONOMY
-6612813662071346519,BUSINESS
-6612813662071346519,EMPLOYMENT
-6612813662071346519,STAFFING
-6806743988723921837,BUSINESS
-7006768184156439617,ENERGY
-7006768184156439617,INDUSTRY
-708603054086510519,ADHD
-708603054086510519,ANXIETY
-708603054086510519,ASTHMA
-708603054086510519,AUTISM
-708603054086510519,CAR
-708603054086510519,CHILD
-708603054086510519,DENTAL
-708603054086510519,DEPRESSION
-708603054086510519,DHB
-708603054086510519,DISEASE
-708603054086510519,EMPLOYMENT
-708603054086510519,ENTERTAINMENT
-708603054086510519,GP
-708603054086510519,HEALTH
-708603054086510519,ILLNESS
-708603054086510519,MAORI
-708603054086510519,MATERNITY
-708603054086510519,MEDICAL
-708603054086510519,MEDICATION
-708603054086510519,MENTAL HEALTH
-708603054086510519,NUTRITION
-708603054086510519,OBESITY
-708603054086510519,PRIMARY HEALTHCARE
-708603054086510519,TRANSPORT
-708603054086510519,TV
-708603054086510519,URGENT CARE
-7096675309041027673,ECONOMY
-7263619578306871590,CHILD
-7263619578306871590,DEATH
-7263619578306871590,MORBIDITY
-7263619578306871590,MORTALITY
-7304603707053874151,ALCOHOL
-7304603707053874151,HEALTH
-7304603707053874151,HEIGHT
-7304603707053874151,NUTRITION
-7304603707053874151,SMOKING
-7304603707053874151,SPORT
-7304603707053874151,WEIGHT
-7393739475437639575,HEALTH
-7393739475437639575,ICT
-7393739475437639575,INTERNET
-7395922433085369503,AGING
-7395922433085369503,CHILD
-7395922433085369503,DISABILITY
-7395922433085369503,ETHNICITY
-7395922433085369503,HEALTH
-7689963954184075057,EMPLOYMENT
-7689963954184075057,INDUSTRY
-8000780847208692919,EDUCATION
-8000780847208692919,ETHNICITY
-8000780847208692919,MAORI
-8000780847208692919,UNIVERSITY
-8000780847208692919,WOMEN
-8699818270189531705,BUSINESS
-8699818270189531705,EMPLOYMENT
-8699818270189531705,INDUSTRY
-8779557081243720706,EMPLOYMENT
-8779557081243720706,IMMIGRATION
-901051835541241530,ECONOMY
-901051835541241530,EXPENDITURE
-901051835541241530,GOVERNMENT
-901051835541241530,MONEY
-9122425995786895946,ENVIRONMENT
-9122425995786895946,SALMONELLOSIS
-938542730430433150,ICT
-938542730430433150,INDUSTRY
-938542730430433150,INTERNET
-969922834853916546,DISEASE
-969922834853916546,HOSPITAL
-969922834853916546,HOSPITALISATION
-969922834853916546,INTERVENTIONS
-969922834853916546,POISONING
-973060323092361631,DERMATOLOGY
-973060323092361631,ENVIRONMENT
1105825195844649585,EMPLOYMENT
1105825195844649585,STAFFING
1369385689282277240,EMPLOYMENT
1369385689282277240,ETHNICITY
1369385689282277240,INSURANCE
1660170972893207865,EXPENDITURE
1660170972893207865,TRAVEL
1761719096265697495,ENERGY
1761719096265697495,INDUSTRY
1784903731736985307,HEALTH
1784903731736985307,JUSTICE
1784903731736985307,SAFETY
1819061892284154668,AGING
1819061892284154668,AMBULANCE
1819061892284154668,CARDIOLOGY
1819061892284154668,CHEMIST
1819061892284154668,CHILD
1819061892284154668,CHINESE
1819061892284154668,CHIROPRACTIC
1819061892284154668,DENTAL
1819061892284154668,DERMATOLOGY
1819061892284154668,DISABILITY
1819061892284154668,EMERGENCY
1819061892284154668,EMPLOYMENT
1819061892284154668,GP
1819061892284154668,HAEMATOLOGY
1819061892284154668,HEALTH
1819061892284154668,HEALTH STAFF
1819061892284154668,HEARING
1819061892284154668,HOSPITAL
1819061892284154668,INTENSIVE CARE
1819061892284154668,LABORATORY
1819061892284154668,MAORI
1819061892284154668,MATERNITY
1819061892284154668,MEDICAL
1819061892284154668,MEDICAL STAFF (NON NURSE OR DOCTOR)
1819061892284154668,MEDICATION
1819061892284154668,MENTAL HEALTH
1819061892284154668,NATUROPATHY
1819061892284154668,NURSE
1819061892284154668,NUTRITION
1819061892284154668,ONCOLOGY
1819061892284154668,OTORHINOLARYNGOLOGY
1819061892284154668,PAEDIATRICS
1819061892284154668,PHARMACY
1819061892284154668,PSYCHIATRY
1819061892284154668,PSYCHOLOGY
1819061892284154668,PSYCHOTHERAPY
1819061892284154668,RADIOLOGY
1819061892284154668,SCIENCE
1819061892284154668,SPECIALIST
1819061892284154668,SURGERY
1819061892284154668,WEIGHT
1848600394516291596,FLU
1873721639718728715,BUSINESS
1873721639718728715,INDUSTRY
2148784683779555082,HEALTH
2148784683779555082,PEOPLE
2148784683779555082,SMOKING
251501645078043729,RESEARCH
259256524057688625,AGING
259256524057688625,HEALTH
259256524057688625,SCIENCE
279339960679242853,AGRICULTURE
279339960679242853,EXPENDITURE
279339960679242853,FARMING
279339960679242853,INDUSTRY
2836900474646173242,DHB
2836900474646173242,MATERNITY
2836900474646173242,PREMATURE BABIES
3025188011405291355,BUSINESS
3025188011405291355,STAFFING
3118682089358405668,CONSTRUCTION
3118682089358405668,INDUSTRY
3609208336980149623,EMPLOYMENT
3609208336980149623,INDUSTRY
3609208336980149623,PEOPLE
3932090072999003724,ENERGY
3932090072999003724,INDUSTRY
3932090072999003724,MANAGEMENT
398229607126058338,EMPLOYMENT
398229607126058338,INDUSTRY
398229607126058338,MONEY
398229607126058338,STAFFING
4106405371816993750,MEDIA
4106405371816993750,NUTRITION
4106405371816993750,OBESITY
4106405371816993750,PARENTS
4106405371816993750,SPORT
4106405371816993750,TRANSPORT
4106405371816993750,TV
4106405371816993750,VIOLENCE
4106405371816993750,WEIGHT
4484233428650780561,ECONOMY
473102551950031487,EDUCATION
473102551950031487,EMPLOYMENT
4798537976323251634,EMPLOYMENT
4798537976323251634,FORECAST
4870414409729488902,COUNCIL
4870414409729488902,DHB
4870414409729488902,HEALTH
4870414409729488902,POLITICS
4870414409729488902,TERRITORIAL AUTHORITY
4870414409729488902,WOMEN
4877046850297357290,CONSTRUCTION
4877046850297357290,INDUSTRY
4974884509006058656,EMPLOYMENT
4974884509006058656,STAFFING
5187555416844014974,BUSINESS
5187555416844014974,INDUSTRY
5350126886781114753,ADDICTION
5350126886781114753,DEPRIVATION
5350126886781114753,DHB
5350126886781114753,DISCHARGES
5350126886781114753,ETHNICITY
5350126886781114753,NGO
5350126886781114753,POVERTY
5350126886781114753,REFERRAL
5350126886781114753,SECLUSION
5350126886781114753,SOCIAL
5688756253796078857,CHILD
5688756253796078857,COST
5688756253796078857,DENTAL
5688756253796078857,EMPLOYMENT
5688756253796078857,GP
5688756253796078857,HEALTHCARE
5688756253796078857,MEDICATION
5688756253796078857,NURSE
5688756253796078857,PRIMARY HEALTHCARE
5688756253796078857,TRANSPORT
5818741480816383168,AGRICULTURE
5818741480816383168,ECONOMY
5818741480816383168,GOVERNMENT
6070980804916985722,ENERGY
6070980804916985722,INDUSTRY
6184434465108631252,EXPENDITURE
6184434465108631252,GOVERNMENT
6184434465108631252,INNOVATION
6184434465108631252,RESEARCH
6393814470996048080,BUSINESS
6393814470996048080,INDUSTRY
6520735183918073395,EMPLOYMENT
6557692897758135910,JUSTICE
660911223354728576,JUSTICE
6774268568231014473,DEATH
6774268568231014473,DHB
6774268568231014473,SELF-HARM
6774268568231014473,SOCIETY
6774268568231014473,SUICIDE
6774268568231014473,YOUTH
6829654237665780929,ECONOMY
69007263113228263,ALCOHOL
69007263113228263,EXPENDITURE
69007263113228263,HOUSEHOLD
69007263113228263,NUTRITION
7090775448779333873,ECONOMY
7090775448779333873,EMPLOYMENT
7090775448779333873,PRODUCTIVITY
7922723840089689008,DENTAL
7922723840089689008,GP
7922723840089689008,HEALTHCARE
7922723840089689008,MEDICATION
7922723840089689008,NURSE
7922723840089689008,POVERTY
7922723840089689008,PRIMARY HEALTHCARE
7922723840089689008,TRANSPORT
8089668695929246380,ADHD
8089668695929246380,ASTHMA
8089668695929246380,AUTISM
8089668695929246380,CHILD
8089668695929246380,DERMATOLOGY
8089668695929246380,MENTAL HEALTH
8192060807369442341,BUSINESS
8192060807369442341,STAFFING
8367887672799876755,BUSINESS
8367887672799876755,ENERGY
8367887672799876755,INDUSTRY
8367887672799876755,INNOVATION
8367887672799876755,MARKETING
8367887672799876755,ORGANISATION
8587595379829116780,AUCKLAND
8587595379829116780,CITIES
8587595379829116780,DERMATOLOGY
8587595379829116780,ENERGY
8587595379829116780,ENVIRONMENT
8587595379829116780,HEALTH
8587595379829116780,HOSPITAL
8587595379829116780,INTERNATIONAL
8587595379829116780,POLLUTION
8587595379829116780,SCIENCE
8784021600408280173,FLU
8791588819857446933,RESEARCH
8791588819857446933,UNIVERSITY
8819082755797007722,BUSINESS
8819082755797007722,EMPLOYMENT
8819082755797007722,INDUSTRY
8819082755797007722,MAORI
9026141901840910253,ENERGY
9026141901840910253,INDUSTRY
